param n := 5;
param m := 41;
param x :=
 1 1.0166    8 1.6767   15 2.3952   22 3.1104   29 3.797    36 4.5063
 2 1.1031    9 1.7855   16 2.5086   23 3.1888   30 3.9002   37 4.6018
 3 1.1874   10 1.9033   17 2.5864   24 3.3126   31 4.0005   38 4.6897
 4 1.2913   11 2.0039   18 2.7046   25 3.4066   32 4.1083   39 4.8095
 5 1.3982   12 2.1045   19 2.7915   26 3.4993   33 4.2153   40 4.9031
 6 1.5079   13 2.1987   20 2.8967   27 3.598    34 4.3047   41 5.0014
 7 1.5867   14 2.3018   21 3.0055   28 3.6978   35 4.3979
;
param y :=
 1  0.103     8  1.8969   15 -1.4476   22  0.3638   29  0.8195   36 -3.4946
 2  1.9863    9  1.2549   16 -1.6191   23  0.8155   30  0.4439   37 -3.4075
 3  2.876    10  0.5021   17 -0.9695   24  1.0152   31 -0.0641   38 -3.4964
 4  3.534    11 -0.2348   18 -0.8205   25  1.3789   32 -0.642    39 -3.0701
 5  3.565    12 -0.5839   19 -0.8062   26  1.4846   33 -1.9575   40 -1.8975
 6  3.1748   13 -1.0225   20 -0.6962   27  1.1476   34 -2.1635   41 -0.313
 7  3.0782   14 -0.9471   21 -0.0889   28  1.0635   35 -2.4933
;

	
